index,sensor_id,latitude,longitude,sd
0,773869,34.15497,-118.31829,0.1619602645631492
1,767541,34.11621,-118.23799,0.09424125251082399
2,767542,34.11641,-118.23819,0.14398035120027172
3,717447,34.07248,-118.26772,0.16544652539633295
4,717446,34.07142,-118.26572,0.14219107372673734
5,717445,34.06913,-118.25932,0.10942595203694441
6,773062,34.05368,-118.23369,0.1478233971792493
7,767620,34.13486,-118.22932,0.14318303886075706
8,737529,34.20264,-118.47352,0.250720201650222
9,717816,34.15562,-118.4686,0.15652992909301322
10,765604,34.16415,-118.38223,0.16990155296348883
11,767471,34.15691,-118.22469,1.6575981364382417
12,716339,34.07821,-118.28795,0.13991825002309033
13,773906,34.1566,-118.30266,0.238747929565369
14,765273,34.18949,-118.47437,0.22184885943502897
15,716331,34.07006,-118.26246,0.17226195056401417
16,771667,34.07314,-118.23388,0.10809876239445518
17,716337,34.07732,-118.28186,0.14338153317097546
18,769953,34.20672,-118.19992,0.30485450387868834
19,769402,34.12095,-118.33911,0.15490830483353488
20,769403,34.12073,-118.33928,0.1783499055758029
21,769819,34.20584,-118.19803,0.38246750306889754
22,769405,34.12634,-118.34482,0.1800202183064455
23,716941,34.05767,-118.21435,0.1287131945805189
24,717578,34.15478,-118.27076,0.1085160075246796
25,716960,34.12121,-118.27164,0.17683218790139218
26,717804,34.09478,-118.47605,0.17698189386439386
27,767572,34.12967,-118.22871,0.12896458649069403
28,767573,34.12964,-118.22901,0.1751571371336748
29,773012,34.0839,-118.22086,0.1916178276948081
30,773013,34.08374,-118.22076,1.0619676411882093
31,764424,34.17878,-118.39469,0.11838975945201183
32,769388,34.11027,-118.33441,0.1841990205774491
33,716328,34.06664,-118.25397,0.12197914062009488
34,717819,34.18784,-118.47407,0.1764468301445404
35,769941,34.20699,-118.20237,0.27866643656094736
36,760987,34.15359,-118.34043,0.17312896605061862
37,718204,34.15541,-118.29575,0.18164538387637308
38,718045,34.06712,-118.23973,0.13256288987085832
39,769418,34.12659,-118.34465,0.15343000993437989
40,768066,34.15118,-118.3748,0.15920881576638057
41,772140,34.16498,-118.47493,0.10283150830575455
42,773927,34.15262,-118.28034,0.19935690937990846
43,760024,34.1593,-118.46483,0.1846066520364868
44,774012,34.14769,-118.20137,0.21661589802984718
45,774011,34.14747,-118.20123,0.153793863448343
46,767609,34.18555,-118.21733,0.14573442846788875
47,769359,34.1566,-118.42216,0.20766513089591496
48,760650,34.07505,-118.23256,0.1028470681171463
49,716956,34.10658,-118.25544,0.14453265224609704
50,769831,34.20663,-118.20101,0.3401794260022204
51,761604,34.15407,-118.28711,0.27780659621409076
52,717495,34.15664,-118.41326,0.1424127296281219
53,716554,34.15597,-118.2666,0.3213443086340771
54,773953,34.15522,-118.29344,0.17608253404549945
55,767470,34.15699,-118.22436,0.15579473702985924
56,716955,34.09579,-118.24427,0.29118073775363823
57,764949,34.12881,-118.34684,0.12176581438266022
58,773954,34.15544,-118.29344,0.2224536842632416
59,767366,34.21216,-118.47341,0.22230080430140212
60,769444,34.15555,-118.43908,0.1260948936562997
61,773939,34.15297,-118.37226,0.2977358979384753
62,774067,34.15362,-118.28441,0.4447654883952596
63,769443,34.15574,-118.43931,0.1629306186268116
64,767750,34.09335,-118.20635,0.1285914084503396
65,767751,34.09335,-118.20616,0.08322904826712933
